,Tweets,created_at,geo,coordinates,place,lang,entities
0,"@ahmad_altarifi9 @BigAhmad_ الواسطات لما واحد يقدم دوره 
طبعاً عامي الصغار يوخو مطاعيم
لكن مش يقدم دورة
٣ اشخاص لحد… https://t.co/XFiEHPBSwO",2021-04-07 09:44:05,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ahmad_altarifi9', 'name': 'Ahmad Al-Tarifi \uf8ff', 'id': 1712555292, 'id_str': '1712555292', 'indices': [0, 16]}, {'screen_name': 'BigAhmad_', 'name': 'Ahmad AlHasan 𓂆 \u200f\uf8ff', 'id': 1198627478325137409, 'id_str': '1198627478325137409', 'indices': [17, 27]}], 'urls': [{'url': 'https://t.co/XFiEHPBSwO', 'expanded_url': 'https://twitter.com/i/web/status/1379731699509161985', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
1,@SalsabeelFaris خليكي فتلاجتك بليز او ردي علي من الصبح باخد استشارات مطاعيم فجاه صارو كلهم طوارىء 😫😫,2021-04-06 15:23:05,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SalsabeelFaris', 'name': 'S', 'id': 1249333729593626625, 'id_str': '1249333729593626625', 'indices': [0, 15]}], 'urls': []}"
2,"نرجع ل #الكورونا
جابوا مطاعيم جديدة ولا خلص الشريحة الأولى اللي زرعوها فينا بتكفي 🥴🥴🥴🥴",2021-04-06 07:43:57,,,,ar,"{'hashtags': [{'text': 'الكورونا', 'indices': [7, 16]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
3,"في مطاعيم بالبلد ولالا؟!
اذا موجود شو نوعه؟!",2021-04-05 16:36:36,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
4,"الزمن بكرر نفسه وكل اشي بتغير الا تخلف هاي الفئة من الناس.. 
المفروض نستاء من الحكومة مشان مش موفريتلنا مطاعيم زي ب… https://t.co/l6KOb1q6iA",2021-04-05 15:40:23,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/l6KOb1q6iA', 'expanded_url': 'https://twitter.com/i/web/status/1379096586710618112', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
