,Tweets,created_at,geo,coordinates,place,lang,entities
0,ياخخخخي لا تخرب علينا خذ اللقاح الدول. سوت اللي عليها سو اللي عليك الحين ترا في دول ثانية يشترون اللقاح بفلوس هنا ب… https://t.co/9wDncqi15M,2021-04-08 22:36:40,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9wDncqi15M', 'expanded_url': 'https://twitter.com/i/web/status/1380288510322733057', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
1,"RT @1_alays: 🔴 مركز لقاحات كورونا في محافظة العيص يواصل استقبال المواطنين والمقيمين.
كل الشكر و التقدير لجميع الكادر الطبي المتواجدين فيه
خ…",2021-04-07 15:21:28,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '1_alays', 'name': 'العيص اليوم', 'id': 735396855505358849, 'id_str': '735396855505358849', 'indices': [3, 11]}], 'urls': []}"
2,"مركز اللقاح* 

والله الحساوية مصدقين اللقاح واجد https://t.co/v9hsUGCWHQ",2021-04-07 15:08:31,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1379813295113302025, 'id_str': '1379813295113302025', 'indices': [49, 72], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1379813295113302025/pu/img/0CoMzLLkCjs5C4lm.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1379813295113302025/pu/img/0CoMzLLkCjs5C4lm.jpg', 'url': 'https://t.co/v9hsUGCWHQ', 'display_url': 'pic.twitter.com/v9hsUGCWHQ', 'expanded_url': 'https://twitter.com/iibraheem1422/status/1379813343364583428/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 362, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 638, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 680, 'h': 1278, 'resize': 'fit'}}}]}"
3,"🔴 مركز لقاحات كورونا في محافظة العيص يواصل استقبال المواطنين والمقيمين.
كل الشكر و التقدير لجميع الكادر الطبي المتو… https://t.co/h8oOPmEeZ8",2021-04-07 13:42:03,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/h8oOPmEeZ8', 'expanded_url': 'https://twitter.com/i/web/status/1379791583936139271', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
4,"🔴 بداية من 1 رمضان..تصاريح أداء العمرة والصلوات في المسجد الحرام والزيارة للمسجد النبوي تكون لـ:

-محصن حاصل على جر… https://t.co/UugoZx62Kp",2021-04-05 16:02:44,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UugoZx62Kp', 'expanded_url': 'https://twitter.com/i/web/status/1379102211045793793', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
5,الحمدالله اخذنا اللقاح ❤️,2021-04-04 14:03:24,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
