,Tweets,created_at,geo,coordinates,place,lang,entities
0,@AbdelkarimAlQu1 لا قدر الله ،،، لكن المراهنه على وعي المواطن لا تكفي يجب ان يرافقها زياده سريعه في عدد من يتلقون المطاعيم,2021-04-30 20:40:23,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AbdelkarimAlQu1', 'name': 'Abdelkarim Al-Qudah', 'id': 1324742052492562435, 'id_str': '1324742052492562435', 'indices': [0, 16]}], 'urls': []}"
1,RT @RHASJordan: في أسبوع التحصين العالمي نذكركم بأهمية إعطاء أطفالكم المطاعيم في مواعيدها خاصة وسط جائحة كورونا، كي نحميهم ولا نواجه تحديات…,2021-04-30 18:06:15,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RHASJordan', 'name': 'Royal Health Awareness Society', 'id': 207413918, 'id_str': '207413918', 'indices': [3, 14]}], 'urls': []}"
2,RT @RHASJordan: في أسبوع التحصين العالمي نذكركم بأهمية إعطاء أطفالكم المطاعيم في مواعيدها خاصة وسط جائحة كورونا، كي نحميهم ولا نواجه تحديات…,2021-04-30 14:45:58,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RHASJordan', 'name': 'Royal Health Awareness Society', 'id': 207413918, 'id_str': '207413918', 'indices': [3, 14]}], 'urls': []}"
3,في أسبوع التحصين العالمي نذكركم بأهمية إعطاء أطفالكم المطاعيم في مواعيدها خاصة وسط جائحة كورونا، كي نحميهم ولا نواج… https://t.co/W9YHQeSZZ3,2021-04-30 14:42:23,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/W9YHQeSZZ3', 'expanded_url': 'https://twitter.com/i/web/status/1388141688170950658', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
4,@EnnabHanadi @khaberni خلص معناته بنروح نحكي لجماعة الحصبه وشلل الاطفال والكزاز وكل المطاعيم مافي داعي خلونا ننصاب… https://t.co/glAg0NJlDv,2021-04-30 10:23:14,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EnnabHanadi', 'name': 'Hanadi', 'id': 2993709576, 'id_str': '2993709576', 'indices': [0, 12]}, {'screen_name': 'khaberni', 'name': 'خبرني  Khaberni', 'id': 110345797, 'id_str': '110345797', 'indices': [13, 22]}], 'urls': [{'url': 'https://t.co/glAg0NJlDv', 'expanded_url': 'https://twitter.com/i/web/status/1388076468819922944', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
5,"معهد العناية بصحة الأسرة ينظم أنشطة عن أهمية المطاعيم
https://t.co/RBTeKycuA7

#الأردن
#جريدة_الدستور_الأردنية https://t.co/PSwLD3xeWG",2021-04-30 09:30:21,,,,ar,"{'hashtags': [{'text': 'الأردن', 'indices': [79, 86]}, {'text': 'جريدة_الدستور_الأردنية', 'indices': [87, 110]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RBTeKycuA7', 'expanded_url': 'https://www.addustour.com/articles/1215218-%D9%85%D8%B9%D9%87%D8%AF-%D8%A7%D9%84%D8%B9%D9%86%D8%A7%D9%8A%D8%A9-%D8%A8%D8%B5%D8%AD%D8%A9-%D8%A7%D9%84%D8%A3%D8%B3%D8%B1%D8%A9-%D9%8A%D9%86%D8%B8%D9%85-%D8%A3%D9%86%D8%B4%D8%B7%D8%A9-%D8%B9%D9%86-%D8%A3%D9%87%D9%85%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%B7%D8%A7%D8%B9%D9%8A%D9%85', 'display_url': 'addustour.com/articles/12152…', 'indices': [54, 77]}], 'media': [{'id': 1388063161098674176, 'id_str': '1388063161098674176', 'indices': [111, 134], 'media_url': 'http://pbs.twimg.com/media/E0NkFzsXoAA8xGC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E0NkFzsXoAA8xGC.jpg', 'url': 'https://t.co/PSwLD3xeWG', 'display_url': 'pic.twitter.com/PSwLD3xeWG', 'expanded_url': 'https://twitter.com/AddustourNews/status/1388063162335891457/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 960, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}}}]}"
6,@hetiaf5 @skynewsarabia بخصوص كورونا ماخذين المطاعيم معظمهم,2021-04-30 08:21:11,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hetiaf5', 'name': 'هتاف محمد السعيد (عاشقه الجنه)', 'id': 418239712, 'id_str': '418239712', 'indices': [0, 8]}, {'screen_name': 'skynewsarabia', 'name': 'سكاي نيوز عربية', 'id': 216289357, 'id_str': '216289357', 'indices': [9, 23]}], 'urls': []}"
7,"معهد العناية بصحة الأسرة ينظم أنشطة عن أهمية المطاعيم

https://t.co/uVIrvPfGG5

#السوسنة",2021-04-30 08:00:17,,,,ar,"{'hashtags': [{'text': 'السوسنة', 'indices': [80, 88]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uVIrvPfGG5', 'expanded_url': 'https://www.assawsana.com/portal/pages.php?newsid=505814', 'display_url': 'assawsana.com/portal/pages.p…', 'indices': [55, 78]}]}"
8,"معهد العناية بصحة الأسرة ينظم أنشطة عن أهمية المطاعيم

https://t.co/EFz8a4rfGD",2021-04-30 07:55:51,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EFz8a4rfGD', 'expanded_url': 'https://johinanews.com/article/143114', 'display_url': 'johinanews.com/article/143114', 'indices': [55, 78]}]}"
9,"صباحنا فلسطيني

لا أعرف المكان و لا الزمان و لا اعرف الفتى البطل.....كل الي بعرفه إنه هيك شبابنا في فلسطين.
صباح ال… https://t.co/LLHw62MWlV",2021-04-30 06:37:28,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LLHw62MWlV', 'expanded_url': 'https://twitter.com/i/web/status/1388019656406048770', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
