,Tweets,created_at,geo,coordinates,place,lang,entities
0,"إذا حد عنده خبرة بالموضوع، لو موعد الجرعة الثانية من المطعوم ما بقدر اروح عليه شو في اجراء عشان يتأجل؟ 
وبالنسبة لم… https://t.co/pMmG8QbZEk",2021-04-30 23:15:29,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pMmG8QbZEk', 'expanded_url': 'https://twitter.com/i/web/status/1388270813330223110', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
1,الولايات المتحدة: ١٠٠ مليون أمريكي (أعمارهم فوق ال ١٦) حصلوا على جرعتي المطعوم، ٣٠٪ من الاميركان. تحصل على هكذا نتي… https://t.co/3xppiDnYEc,2021-04-30 19:16:41,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3xppiDnYEc', 'expanded_url': 'https://twitter.com/i/web/status/1388210716730068993', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2,"#عاجل:

(لقاء الأسبوع)

عزمي محافظة: الحظر الجزئي غير مفيد.. كورونا أكثر انتشارا بالبيوت.. تلقي المطعوم مسألة أخلاق… https://t.co/HiZUcDD4G5",2021-04-30 18:59:15,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [0, 5]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HiZUcDD4G5', 'expanded_url': 'https://twitter.com/i/web/status/1388206331862061057', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
3,@VersAyah ولا شو لعاد، احنا بنخير الزبون، المطعوم االي حابه بوخذه 😌,2021-04-30 14:37:14,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VersAyah', 'name': '𓂆 آية 🏃🏽\u200d♀️👩🏽\u200d💻', 'id': 1236595731731005440, 'id_str': '1236595731731005440', 'indices': [0, 9]}], 'urls': []}"
4,إجابات على  بعض الاستفسارات التي تشغل المجتمع  على صفحات التواصل الاجتماعي، وحرصًا منا على توضيحها قمنا بإعداد منشو… https://t.co/iRpFo09H8k,2021-04-30 13:14:25,,,"Place(_api=<tweepy.api.API object at 0x000001E12AEA82B0>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001E12AEA82B0>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iRpFo09H8k', 'expanded_url': 'https://twitter.com/i/web/status/1388119551334883332', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
5,@EnnabHanadi @khaberni قرار صحيح ميه بالميه روحي شوفي الاعداد عند السعوديه وعند اليهود . ومين الغانم اللي حكالك الم… https://t.co/hldabDWr6W,2021-04-30 09:33:32,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EnnabHanadi', 'name': 'Hanadi', 'id': 2993709576, 'id_str': '2993709576', 'indices': [0, 12]}, {'screen_name': 'khaberni', 'name': 'خبرني  Khaberni', 'id': 110345797, 'id_str': '110345797', 'indices': [13, 22]}], 'urls': [{'url': 'https://t.co/hldabDWr6W', 'expanded_url': 'https://twitter.com/i/web/status/1388063962047172612', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
6,@Nahid_m3 إن شاء الله تخلص كورونا قبل ما تاخدي المطعوم و تحتفلي براحتك 😁,2021-04-30 00:18:43,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Nahid_m3', 'name': 'Nahid al maaitah', 'id': 1011024719364214785, 'id_str': '1011024719364214785', 'indices': [0, 9]}], 'urls': []}"
7,@RazanAlNatsheh1 شكلهم ماخذين المطعوم 🥴,2021-04-29 23:56:48,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RazanAlNatsheh1', 'name': 'Razan Al Natsheh', 'id': 1130492254639009793, 'id_str': '1130492254639009793', 'indices': [0, 16]}], 'urls': []}"
8,@mohsenmohsen79 @hanaaehmaid @Assi11086370 @abed_olwan @mshawahneh الله ياخذه ويريحنا منه بس بدي اعرف متى راح ياخذ… https://t.co/4cfIkkDAVv,2021-04-29 22:48:53,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mohsenmohsen79', 'name': 'Mohsen🇵🇸', 'id': 878570758930386945, 'id_str': '878570758930386945', 'indices': [0, 15]}, {'screen_name': 'hanaaehmaid', 'name': 'hanaa ehmaid 🇯🇴', 'id': 877131029810749440, 'id_str': '877131029810749440', 'indices': [16, 28]}, {'screen_name': 'Assi11086370', 'name': 'Assi', 'id': 1269879162300444673, 'id_str': '1269879162300444673', 'indices': [29, 42]}, {'screen_name': 'abed_olwan', 'name': 'الشمتان عبد الرحمن علوان 🇵🇸𓂆', 'id': 1110326958297153536, 'id_str': '1110326958297153536', 'indices': [43, 54]}, {'screen_name': 'mshawahneh', 'name': 'Mohammad', 'id': 16448857, 'id_str': '16448857', 'indices': [55, 66]}], 'urls': [{'url': 'https://t.co/4cfIkkDAVv', 'expanded_url': 'https://twitter.com/i/web/status/1387901732034854913', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
9,"@khaledabualrub لو كنت بالاردن ما تترفع الا لما تاخد المطعوم لهيك احمد الله حمدا كثيرا 😜
الله مبارك منها للاعلى دنيا واخره",2021-04-29 21:35:20,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'khaledabualrub', 'name': 'خالد أبوالرُّب', 'id': 240806808, 'id_str': '240806808', 'indices': [0, 15]}], 'urls': []}"
