Tweets,created_at,geo,coordinates,place,lang,entities
@KHAFAJAJORDAN @WalidMaani القرار له علاقه بكون اللقاح الصيني غير معتمد في السعوديه .,2021-04-30 16:39:00,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KHAFAJAJORDAN', 'name': 'ENG:MOHD AL KHAFAJA', 'id': 228664366, 'id_str': '228664366', 'indices': [0, 14]}, {'screen_name': 'WalidMaani', 'name': 'Walid Maani', 'id': 166873223, 'id_str': '166873223', 'indices': [15, 26]}], 'urls': []}"
"خبراء تربويُّون: اللقاح هو الحل لعودة التعليم الوجاهي

https://t.co/5rTS71lU6E",2021-04-30 16:15:00,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5rTS71lU6E', 'expanded_url': 'https://www.khaberni.com/news/419887', 'display_url': 'khaberni.com/news/419887', 'indices': [55, 78]}]}"
"خبراء تربويُّون: اللقاح هو الحل الأمثل لعودة التعليم الوجاهي
https://t.co/2amXfkoXgE

#الأردن… https://t.co/ERRJWMvHGx",2021-04-30 16:00:04,,,,ar,"{'hashtags': [{'text': 'الأردن', 'indices': [86, 93]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2amXfkoXgE', 'expanded_url': 'https://www.addustour.com/articles/1215253-%D8%AE%D8%A8%D8%B1%D8%A7%D8%A1-%D8%AA%D8%B1%D8%A8%D9%88%D9%8A%D9%91%D9%8F%D9%88%D9%86-%D8%A7%D9%84%D9%84%D9%82%D8%A7%D8%AD-%D9%87%D9%88-%D8%A7%D9%84%D8%AD%D9%84-%D8%A7%D9%84%D8%A3%D9%85%D8%AB%D9%84-%D9%84%D8%B9%D9%88%D8%AF%D8%A9-%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A7%D9%84%D9%88%D8%AC%D8%A7%D9%87%D9%8A', 'display_url': 'addustour.com/articles/12152…', 'indices': [61, 84]}, {'url': 'https://t.co/ERRJWMvHGx', 'expanded_url': 'https://twitter.com/i/web/status/1388161239482880004', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [95, 118]}]}"
"#عاجل

خبراء تربويُّون: اللقاح هو الحل الأمثل لعودة التعليم الوجاهي
 https://t.co/o96gjoh9Zm @AddustourJordan… https://t.co/84SACEeYYK",2021-04-30 15:56:52,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [0, 5]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/o96gjoh9Zm', 'expanded_url': 'https://www.addustour.com/articles/1215253', 'display_url': 'addustour.com/articles/12152…', 'indices': [69, 92]}, {'url': 'https://t.co/84SACEeYYK', 'expanded_url': 'https://twitter.com/i/web/status/1388160433035563017', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]}"
"خبراء تربويُّون: اللقاح هو الحل الأمثل لعودة التعليم الوجاهي https://t.co/sxCuKndXzd 
#بترا #الاردن",2021-04-30 15:56:24,,,,ar,"{'hashtags': [{'text': 'بترا', 'indices': [86, 91]}, {'text': 'الاردن', 'indices': [92, 99]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sxCuKndXzd', 'expanded_url': 'https://petra.gov.jo/Include/InnerPage.jsp?ID=175915&lang=ar&name=news#.YIwoi0qgPLo.twitter', 'display_url': 'petra.gov.jo/Include/InnerP…', 'indices': [61, 84]}]}"
"RT @mohammed_Rafi3: - شخص قرر يتلقى اللقاح 
- دائرة المؤامرات الماسونية بامريكا : https://t.co/uDW3zbmI6h",2021-04-30 15:39:08,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mohammed_Rafi3', 'name': 'Mohammed Rafi 🕸', 'id': 945728270, 'id_str': '945728270', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1388094552070840320, 'id_str': '1388094552070840320', 'indices': [82, 105], 'media_url': 'http://pbs.twimg.com/media/E0OApALWYAATXGE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E0OApALWYAATXGE.jpg', 'url': 'https://t.co/uDW3zbmI6h', 'display_url': 'pic.twitter.com/uDW3zbmI6h', 'expanded_url': 'https://twitter.com/mohammed_Rafi3/status/1388094557070495744/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1079, 'h': 596, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1079, 'h': 596, 'resize': 'fit'}, 'small': {'w': 680, 'h': 376, 'resize': 'fit'}}, 'source_status_id': 1388094557070495744, 'source_status_id_str': '1388094557070495744', 'source_user_id': 945728270, 'source_user_id_str': '945728270'}]}"
"#عاجل خبراء تربويون: اللقاح هو الحل الأمثل لعودة التعليم الوجاهي

https://t.co/TfNI7T5gef https://t.co/t2ZjbFu2jm",2021-04-30 15:14:00,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [0, 5]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/TfNI7T5gef', 'expanded_url': 'http://www.jordanzad.com/index.php?page=article&id=436185', 'display_url': 'jordanzad.com/index.php?page…', 'indices': [66, 89]}], 'media': [{'id': 1388149640613310471, 'id_str': '1388149640613310471', 'indices': [90, 113], 'media_url': 'http://pbs.twimg.com/media/E0Oyvk_XsAckaeC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E0Oyvk_XsAckaeC.jpg', 'url': 'https://t.co/t2ZjbFu2jm', 'display_url': 'pic.twitter.com/t2ZjbFu2jm', 'expanded_url': 'https://twitter.com/JordanZad1/status/1388149644761444354/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 864, 'h': 486, 'resize': 'fit'}, 'large': {'w': 864, 'h': 486, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}"
"ما نعرفه عن  #كورونا في #الهند:

٢٠٠ الف وفاة 
٢٠٠٠ وفاة يومياً 
١٠٪ فقط نسبة من اخذوا اللقاح الجرعه الاولى
١٪ فقط… https://t.co/8B9drDXwYS",2021-04-30 15:02:37,,,"Place(_api=<tweepy.api.API object at 0x000001E12AEA82B0>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001E12AEA82B0>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [{'text': 'كورونا', 'indices': [13, 20]}, {'text': 'الهند', 'indices': [24, 30]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8B9drDXwYS', 'expanded_url': 'https://twitter.com/i/web/status/1388146780227915786', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
لقاء الدكتور محمد حسن الطراونة#المتحور_الهندي.و#اللقاح https://t.co/4ukYYZyCYF via @YouTube,2021-04-30 14:55:59,,,"Place(_api=<tweepy.api.API object at 0x000001E12AEA82B0>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001E12AEA82B0>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [83, 91]}], 'urls': [{'url': 'https://t.co/4ukYYZyCYF', 'expanded_url': 'https://youtu.be/Ej4KN5PfHdE', 'display_url': 'youtu.be/Ej4KN5PfHdE', 'indices': [55, 78]}]}"
"خبراء تربويُّون: اللقاح هو الحل الأمثل لعودة التعليم الوجاهي 
https://t.co/OdqmvMRkYO
#صحيفة_الرأي",2021-04-30 14:32:57,,,,ar,"{'hashtags': [{'text': 'صحيفة_الرأي', 'indices': [86, 98]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OdqmvMRkYO', 'expanded_url': 'http://alrai.com/article/10588795/', 'display_url': 'alrai.com/article/105887…', 'indices': [62, 85]}]}"
