,Tweets,created_at,geo,coordinates,place,lang,entities
0,دعاية زين عن مطعوم كورونا كتير حلوه.,2021-04-16 21:27:36,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
1,"RT @aminyou99967910: تسجيل حالة وفاة ثانيه لممرضه في اربد بعد تلقيها جرعة اولى من مطعوم استرازينكا بجلطه 
رحمها الله .",2021-04-16 21:01:20,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'aminyou99967910', 'name': 'Mohammad amin yousef awamleh', 'id': 1326794511985614853, 'id_str': '1326794511985614853', 'indices': [3, 19]}], 'urls': []}"
2,إجابات على  بعض الاستفسارات التي تشغل المجتمع  على صفحات التواصل الاجتماعي، وحرصًا منا على توضيحها قمنا بإعداد منشو… https://t.co/w1vepNoBEu,2021-04-16 17:56:07,,,"Place(_api=<tweepy.api.API object at 0x0000025305322340>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000025305322340>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/w1vepNoBEu', 'expanded_url': 'https://twitter.com/i/web/status/1383117011497201666', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
3,أكثر من ٨٠٠٠ روح عزيزة على أم وأب وعائلة... كل هؤلاء من أهل وبنات وأبناء وأجداد وجدّات وأصدقاء، خسرناهم بسبب مرض في… https://t.co/Y0VCX41qJB,2021-04-16 17:49:11,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Y0VCX41qJB', 'expanded_url': 'https://twitter.com/i/web/status/1383115266784116738', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
4,@Hananqabartai هيك شكله او اكتر من مطعوم واحد,2021-04-16 09:56:57,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Hananqabartai', 'name': 'Hanan Qabartai', 'id': 746931761305759744, 'id_str': '746931761305759744', 'indices': [0, 14]}], 'urls': []}"
5,@samikhatib2 يعني (مطعوم سنوي) 😉,2021-04-16 09:49:38,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'samikhatib2', 'name': 'sami khatib', 'id': 410140758, 'id_str': '410140758', 'indices': [0, 12]}], 'urls': []}"
6,"تسجيل حالة وفاة ثانيه لممرضه في اربد بعد تلقيها جرعة اولى من مطعوم استرازينكا بجلطه 
رحمها الله .",2021-04-16 00:50:54,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
7,"تراقب بصمت !!!.
ماذا عن الجرعة الثانية !؟
هل سيتم اعطاءها لمن تلقى الجرعة الاولى!؟
#مطعوم_استرازينيكا… https://t.co/DlXXgxwz8g",2021-04-15 21:18:58,,,,ar,"{'hashtags': [{'text': 'مطعوم_استرازينيكا', 'indices': [83, 101]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DlXXgxwz8g', 'expanded_url': 'https://twitter.com/i/web/status/1382805672438460420', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [103, 126]}]}"
8,زي مطعوم الانفلونزا، ما بيشتغل بس الناس بتاخده https://t.co/YmAunSucIj,2021-04-15 18:53:53,,,"Place(_api=<tweepy.api.API object at 0x0000025305322340>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000025305322340>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YmAunSucIj', 'expanded_url': 'https://twitter.com/AlMamlakaTV/status/1382767964504612867', 'display_url': 'twitter.com/AlMamlakaTV/st…', 'indices': [47, 70]}]}"
9,"تلقيت الجرعة الأولى من مطعوم كوفيد-19 سينوفارم 
التنظيم ممتاز و التعامل رائع من قبل الكادر الطبي الموجود هناك في جا… https://t.co/n8FqhputN0",2021-04-15 17:44:56,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/n8FqhputN0', 'expanded_url': 'https://twitter.com/i/web/status/1382751809350033411', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
