,Tweets,created_at,geo,coordinates,place,lang,entities
0,الاساس الي بعطوا فيه الدور لاخذ المطاعيم عنا راح يضل لغز بالنسبة الي,2021-04-10 23:48:46,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
1,@Safaaljayoussi بعد شهر ممكن انا اتصلت مع غرفة عمليات المطاعيم لانه كنت مصابة و بعد انتهاء الحجر مباشرة موعد الجرعة… https://t.co/6xMst5XijU,2021-04-10 20:28:31,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Safaaljayoussi', 'name': ""Safa' Al Jayoussi"", 'id': 69232915, 'id_str': '69232915', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/6xMst5XijU', 'expanded_url': 'https://twitter.com/i/web/status/1380981039267463169', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2,"وزارة الصحة : المؤشرات تدل على احتواء الموجة الحالية لكن احتواء الوباء يحتاج إلى إعطاء أكبر عدد ممكن من المطاعيم

#عاجل",2021-04-10 16:16:35,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [114, 119]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
3,"@memo_113f نصيحه مني لا تاخذيه , امبارح قريت على احدى القنوات انه بعض انواع المطاعيم تعمل جلطه",2021-04-10 12:18:18,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'memo_113f', 'name': 'الذاهبه 1 🇯🇴🇯🇴', 'id': 2360535341, 'id_str': '2360535341', 'indices': [0, 10]}], 'urls': []}"
4,"RT @kalsal: صباح الإطلالات الجميلة و الطبيعة الرائعة من بحيرة طبريا في شمال فلسطين
صباح الصحة و السلامة و التباعد الإجتماعي و الكمامات و ال…",2021-04-09 23:10:37,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kalsal', 'name': 'Khaled Salaymeh', 'id': 48989871, 'id_str': '48989871', 'indices': [3, 10]}], 'urls': []}"
5,"الصحة توضح حول عدم وجود اجسام مضادة لدى متلقي المطاعيم .. ولا وفيات بسبب اللقاح عالميا
https://t.co/O2adFdYzgW https://t.co/fWNzPWzljH",2021-04-09 21:01:57,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/O2adFdYzgW', 'expanded_url': 'http://www.jordanzad.com/index.php?page=article&id=432744', 'display_url': 'jordanzad.com/index.php?page…', 'indices': [87, 110]}], 'media': [{'id': 1380627056212512773, 'id_str': '1380627056212512773', 'indices': [111, 134], 'media_url': 'http://pbs.twimg.com/media/Eyj4_iTXEAU4T2C.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eyj4_iTXEAU4T2C.jpg', 'url': 'https://t.co/fWNzPWzljH', 'display_url': 'pic.twitter.com/fWNzPWzljH', 'expanded_url': 'https://twitter.com/JordanZad1/status/1380627064823365633/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 441, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 800, 'h': 519, 'resize': 'fit'}, 'large': {'w': 800, 'h': 519, 'resize': 'fit'}}}]}"
6,"أبوهلالة لـ""رؤيا"" : الإشاعات أثرت على تلقي المطاعيم الأخرى
#عاجل #الأردن #رؤيا_الاخباري #لقاح_كورونا… https://t.co/SsxChaERYX",2021-04-09 17:42:46,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [59, 64]}, {'text': 'الأردن', 'indices': [65, 72]}, {'text': 'رؤيا_الاخباري', 'indices': [73, 87]}, {'text': 'لقاح_كورونا', 'indices': [88, 100]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SsxChaERYX', 'expanded_url': 'https://twitter.com/i/web/status/1380576939115749383', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [102, 125]}]}"
7,"RT @Dranasfaqara: نفس النهج والاخطاء بادارة الملف الصحي .. بيطلبوا متطوعين طب يا أخي عينوا فيه مئات المئات من الكوادر عاطلين عن العمل 
ناهي…",2021-04-09 15:17:06,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dranasfaqara', 'name': 'Anas Hayel', 'id': 367279201, 'id_str': '367279201', 'indices': [3, 16]}], 'urls': []}"
8,نفس النهج والاخطاء بادارة الملف الصحي .. بيطلبوا متطوعين طب يا أخي عينوا فيه مئات المئات من الكوادر عاطلين عن العمل… https://t.co/Kk4Qh2ifNA,2021-04-09 14:39:08,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Kk4Qh2ifNA', 'expanded_url': 'https://twitter.com/i/web/status/1380530724969791492', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
9,"صباح الإطلالات الجميلة و الطبيعة الرائعة من بحيرة طبريا في شمال فلسطين
صباح الصحة و السلامة و التباعد الإجتماعي و ا… https://t.co/AjaHCqunrX",2021-04-09 04:49:42,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AjaHCqunrX', 'expanded_url': 'https://twitter.com/i/web/status/1380382388270809090', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
10,@AlMamlakaTV كيف وهناك نقص في المطاعيم,2021-04-08 22:55:29,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AlMamlakaTV', 'name': 'قناة المملكة', 'id': 816213211150188544, 'id_str': '816213211150188544', 'indices': [0, 12]}], 'urls': []}"
11,@HamzaAlahmadH @Lamees_desu المطاعيم متوفرة للجميع بس إزا بدك تاخدها بعمان بدك تستنى لييجي دورك.. أما إزا بتعدّل مر… https://t.co/3g1YGn6yFC,2021-04-08 22:13:12,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HamzaAlahmadH', 'name': 'Hamza of Jordan', 'id': 103624849, 'id_str': '103624849', 'indices': [0, 14]}, {'screen_name': 'Lamees_desu', 'name': 'Lamees', 'id': 40520808, 'id_str': '40520808', 'indices': [15, 27]}], 'urls': [{'url': 'https://t.co/3g1YGn6yFC', 'expanded_url': 'https://twitter.com/i/web/status/1380282606789464064', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
12,"@Sondosaqylan انا بقرأ عند ناس معينة وبس 
انا اخدته و انصبت باقل من اسبوع 
بس لساني من جمهور المطاعيم",2021-04-08 20:39:14,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Sondosaqylan', 'name': 'سُندس 🕊', 'id': 824681110110146560, 'id_str': '824681110110146560', 'indices': [0, 13]}], 'urls': []}"
13,"خذلك مسلمين امريكا ,هاذ لو يسمع كمية المطاعيم و التكفير الي بتطلع باصغر هوشة بتصير عندنا غير يغير ديانته 
🤣🤣🤣 https://t.co/JjFPHXHV5A",2021-04-08 20:13:04,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JjFPHXHV5A', 'expanded_url': 'https://twitter.com/lonelyjournals/status/1380161571029139466', 'display_url': 'twitter.com/lonelyjournals…', 'indices': [110, 133]}]}"
14,"صباح التراث و الثقافة و الجمال من مقهى ليوان الثقافي في البلدة القديمة في مدينة الناصرة في شمال فلسطين المحتلة

صبا… https://t.co/rrOmwRSMT0",2021-04-08 02:55:20,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rrOmwRSMT0', 'expanded_url': 'https://twitter.com/i/web/status/1379991219607105538', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
15,"@em84769563 @meme1jolyan @skynewsarabia بالنهاية كل المطاعيم ما في منها ضرر.. والفائدة اكبر بكتير باذن الله
لهيك مه… https://t.co/vxjE6f2jAq",2021-04-07 23:22:36,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'em84769563', 'name': 'mem', 'id': 1237783470136492032, 'id_str': '1237783470136492032', 'indices': [0, 11]}, {'screen_name': 'meme1jolyan', 'name': 'meme', 'id': 1372262343615389696, 'id_str': '1372262343615389696', 'indices': [12, 24]}, {'screen_name': 'skynewsarabia', 'name': 'سكاي نيوز عربية', 'id': 216289357, 'id_str': '216289357', 'indices': [25, 39]}], 'urls': [{'url': 'https://t.co/vxjE6f2jAq', 'expanded_url': 'https://twitter.com/i/web/status/1379937681875034119', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
16,"RT @kalsal: صباح الجمال من أرض الجمال فلسطين من قرية بيتا-قضاء نابلس

صباح الصحة و السلامة و التباعد الإجتماعي و الكمامات و المطاعيم للجميع…",2021-04-07 23:04:35,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kalsal', 'name': 'Khaled Salaymeh', 'id': 48989871, 'id_str': '48989871', 'indices': [3, 10]}], 'urls': []}"
17,@hananibrahimsai @NabdApp يا جماعه يبدو انكم غير مدركين انه عندنا اولويات اهم من المطاعيم ....هلكتونا خفوا علينا شو… https://t.co/SzY7L7E0pH,2021-04-07 17:01:38,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hananibrahimsai', 'name': 'Dr. Hanan Ibrahim', 'id': 770385063653609473, 'id_str': '770385063653609473', 'indices': [0, 16]}, {'screen_name': 'NabdApp', 'name': 'تطبيق نبض Nabd App', 'id': 941109194, 'id_str': '941109194', 'indices': [17, 25]}], 'urls': [{'url': 'https://t.co/SzY7L7E0pH', 'expanded_url': 'https://twitter.com/i/web/status/1379841810873393152', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
18,"وظائف مش موظفين حدا.
رواتب مثل الخلق ما في.
امتيازات ما في.
حياة كريمة ما في.
نطلع من البيوت مش قادرين.
زيادات الرو… https://t.co/gKglPynrB8",2021-04-07 15:30:03,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gKglPynrB8', 'expanded_url': 'https://twitter.com/i/web/status/1379818762468270085', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
19,"""الصحة"": نعمل على استقدام أكبر عدد من المطاعيم وصولا لصيف آمن https://t.co/N3KZRiEKgT",2021-04-07 15:22:29,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/N3KZRiEKgT', 'expanded_url': 'http://www.rumonline.net/article/560910#.YG3OLeW4e7w.twitter', 'display_url': 'rumonline.net/article/560910…', 'indices': [62, 85]}]}"
20,الصحة: نعمل على استقدام أكبر عدد من المطاعيم وصولا لصيف آمن @assabeeldotnet https://t.co/iEjBaP6vkC,2021-04-07 14:15:06,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'assabeeldotnet', 'name': 'صحيفة السبيل', 'id': 204800316, 'id_str': '204800316', 'indices': [60, 75]}], 'urls': [{'url': 'https://t.co/iEjBaP6vkC', 'expanded_url': 'https://assabeel.net/481180', 'display_url': 'assabeel.net/481180', 'indices': [76, 99]}]}"
21,#عاجل | الصحة : صيف آمن من خلال الحصول على أكبر عدد من المطاعيم - الوكيل الاخباري https://t.co/2lBWT4dooE… https://t.co/PNKBEO8oa4,2021-04-07 12:07:24,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [0, 5]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2lBWT4dooE', 'expanded_url': 'https://s.alwakeelnews.com/498702', 'display_url': 's.alwakeelnews.com/498702', 'indices': [82, 105]}, {'url': 'https://t.co/PNKBEO8oa4', 'expanded_url': 'https://twitter.com/i/web/status/1379767763611361280', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [107, 130]}]}"
22,"@1313noanoa رفض المطاعيم من الاردنيين كان بسبب انه ما كان في دعاية ودعم اعلامي لأهمية المطاعيم من القنوات والصحف،
ب… https://t.co/6eq6SYJP1V",2021-04-06 17:39:35,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '1313noanoa', 'name': 'Nida’', 'id': 791389634, 'id_str': '791389634', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/6eq6SYJP1V', 'expanded_url': 'https://twitter.com/i/web/status/1379488974021005321', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
23,"@Mah_Ruh أستغفر الله العظيم، يمكن سياسية بس 😃

هو ع اي حال كل المطاعيم غير مجازة، تستخدم بتصريح طوارئ يوازن بين مخا… https://t.co/EZ6Skt2sNv",2021-04-06 17:37:51,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Mah_Ruh', 'name': 'Ruhaifa-رُهَيْفة', 'id': 1693770792, 'id_str': '1693770792', 'indices': [0, 8]}], 'urls': [{'url': 'https://t.co/EZ6Skt2sNv', 'expanded_url': 'https://twitter.com/i/web/status/1379488535049351173', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
