,Tweets,created_at,geo,coordinates,place,lang,entities
0,"واخيرا وصل مسيج المطعوم 
#COVID19 #vaccination https://t.co/UgaBEWdFeS",2021-04-16 22:58:48,,,,ar,"{'hashtags': [{'text': 'COVID19', 'indices': [25, 33]}, {'text': 'vaccination', 'indices': [34, 46]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1383193183815938048, 'id_str': '1383193183815938048', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/media/EzIW30kXMAAFRs3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EzIW30kXMAAFRs3.jpg', 'url': 'https://t.co/UgaBEWdFeS', 'display_url': 'pic.twitter.com/UgaBEWdFeS', 'expanded_url': 'https://twitter.com/Saif_Abuhazeem/status/1383193185741115394/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1074, 'h': 185, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 117, 'resize': 'fit'}, 'medium': {'w': 1074, 'h': 185, 'resize': 'fit'}}}]}"
1,@AbuayadSalma اذا المطعوم الانجليزي لحسن حظك انه ما طلعلك,2021-04-16 22:37:38,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AbuayadSalma', 'name': 'SALMA 🦄', 'id': 858616669555630080, 'id_str': '858616669555630080', 'indices': [0, 13]}], 'urls': []}"
2,@ahmadqyam الطلاب لازم يموتوا اصلا فش داعي ياخذوا المطعوم,2021-04-16 21:59:21,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ahmadqyam', 'name': 'ΛHMΛD ⚡️', 'id': 2166451976, 'id_str': '2166451976', 'indices': [0, 10]}], 'urls': []}"
3,@ahmadqyam يا رب يطلعلي قبلك عشان تاخذ المطعوم بعدي وتقلدني,2021-04-16 21:58:25,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ahmadqyam', 'name': 'ΛHMΛD ⚡️', 'id': 2166451976, 'id_str': '2166451976', 'indices': [0, 10]}], 'urls': []}"
4,@YahyaAlqutob انت فاهمة عليك. لكن اعتقد كثير ناس اخذوا المطعوم و كثير ناس اصيبوا. الوضع احسن من زمان,2021-04-16 21:20:30,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YahyaAlqutob', 'name': 'Yahya', 'id': 2298117702, 'id_str': '2298117702', 'indices': [0, 13]}], 'urls': []}"
5,بتؤكل سدر مَنسف وكيلو كنافة ولتر بيبسي، وقطايف خلال ساعة، وخايف من المطعوم يعمل تجلطات،.. اي انت شرايينك فاتحات بدعوات الحجة مش أكثر  🇯🇴 🇯🇴,2021-04-16 21:03:45,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
6,"حضور كأس العالم في قطر مرتبط بأخذ المطعوم
https://t.co/BfuRNNe9us

#السوسنة",2021-04-16 20:08:37,,,,ar,"{'hashtags': [{'text': 'السوسنة', 'indices': [67, 75]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BfuRNNe9us', 'expanded_url': 'https://www.assawsana.com/portal/pages.php?newsid=504008', 'display_url': 'assawsana.com/portal/pages.p…', 'indices': [42, 65]}]}"
7,@babaghanuuj السعودية بتسجل ٧٠٠ حالة باليوم او اقل يمكن والغاء الحظر ع السبعة منطقي بالنسبة الهم ، احنا اذا فتحو عن… https://t.co/ygU5VJfrij,2021-04-16 19:44:43,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'babaghanuuj', 'name': 'غِنى', 'id': 1057614104687452160, 'id_str': '1057614104687452160', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/ygU5VJfrij', 'expanded_url': 'https://twitter.com/i/web/status/1383144344396382211', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
8,إجابات على  بعض الاستفسارات التي تشغل المجتمع  على صفحات التواصل الاجتماعي، وحرصًا منا على توضيحها قمنا بإعداد منشو… https://t.co/w1vepNoBEu,2021-04-16 17:56:07,,,"Place(_api=<tweepy.api.API object at 0x0000025305322340>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000025305322340>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/w1vepNoBEu', 'expanded_url': 'https://twitter.com/i/web/status/1383117011497201666', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
9,أكثر من ٨٠٠٠ روح عزيزة على أم وأب وعائلة... كل هؤلاء من أهل وبنات وأبناء وأجداد وجدّات وأصدقاء، خسرناهم بسبب مرض في… https://t.co/Y0VCX41qJB,2021-04-16 17:49:11,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Y0VCX41qJB', 'expanded_url': 'https://twitter.com/i/web/status/1383115266784116738', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
