,Tweets,created_at,geo,coordinates,place,lang,entities
0,"عدد اللذين تلقوا المطاعيم حسب نوع اللقاح  :

مطعوم استرازينيكا: ٨٠ مليون شخص

مطعوم  سبوتنيك: ٣٠ مليون شخص

مطعوم ف… https://t.co/i5RiGUkfzB",2021-04-22 22:13:24,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/i5RiGUkfzB', 'expanded_url': 'https://twitter.com/i/web/status/1385356087575068683', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
1,"مستغربين ان #محمود_عباس عمل تحديد الكل و أعطاهم مطعوم الكورونا !! 

ع أساس كنا نتوقع منه قيام لليل 😒",2021-04-22 21:30:27,,,,ar,"{'hashtags': [{'text': 'محمود_عباس', 'indices': [12, 23]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
2,"بينما جميع الدول تتسابق على صناعة مطعوم كورونا #الرئيس_محمود_عباس يصدر مطعوم لعدة دول من بينها جميع الدول العربية 
🤣🤣🤣🤣",2021-04-22 20:22:18,,,,ar,"{'hashtags': [{'text': 'الرئيس_محمود_عباس', 'indices': [47, 65]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
3,"مطعوم #أبو_مازن أقوى من مطعوم فايزر..

قبعت معاه الريس
#محمود_عباس",2021-04-22 20:09:06,,,"Place(_api=<tweepy.api.API object at 0x000001C40B3D9460>, id='002751a62c5f6114', url='https://api.twitter.com/1.1/geo/id/002751a62c5f6114.json', place_type='admin', name='Irbid', full_name='Irbid, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C40B3D9460>, type='Polygon', coordinates=[[[35.546435, 32.247619], [36.0871758, 32.247619], [36.0871758, 32.7553607], [35.546435, 32.7553607]]]), attributes={})",ar,"{'hashtags': [{'text': 'أبو_مازن', 'indices': [6, 15]}, {'text': 'محمود_عباس', 'indices': [55, 66]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
4,الأردن السابع عربيا بنسبة تلقي مطعوم كورونا https://t.co/ywmCKxeQwf #عاجل,2021-04-22 19:41:00,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [68, 73]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ywmCKxeQwf', 'expanded_url': 'http://www.rumonline.net/article/562846#.YIHRN9B-QcU.twitter', 'display_url': 'rumonline.net/article/562846…', 'indices': [44, 67]}]}"
5,@SyrToni @Hala_Deeb بالاردن كانوا يصرحوا اي مطعوم بيطلعلك خذه لانه ما بنقدر نجيب غير زبالة العالم و ما بنقدر نختار.… https://t.co/R0n4jzfE8h,2021-04-22 18:42:01,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SyrToni', 'name': 'Toni.syr', 'id': 1351639137401581568, 'id_str': '1351639137401581568', 'indices': [0, 8]}, {'screen_name': 'Hala_Deeb', 'name': 'هالة عاهد #مع_المعلم', 'id': 526111668, 'id_str': '526111668', 'indices': [9, 19]}], 'urls': [{'url': 'https://t.co/R0n4jzfE8h', 'expanded_url': 'https://twitter.com/i/web/status/1385302892345704451', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
6,"الأردن في المرتبة السابعة عربيا بنسبة تلقي مطعوم كورونا

 https://t.co/lNXAu0x7GJ",2021-04-22 18:26:46,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lNXAu0x7GJ', 'expanded_url': 'http://factjo.com/news.aspx?Id=121666#.YIG_3CZU7qo.twitter', 'display_url': 'factjo.com/news.aspx?Id=1…', 'indices': [58, 81]}]}"
7,"#عاجل الأردن السابع عربيا بنسبة تلقي مطعوم كورونا

https://t.co/8HCT9qlXth https://t.co/HQXHREXEOd",2021-04-22 18:26:15,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [0, 5]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8HCT9qlXth', 'expanded_url': 'http://www.jordanzad.com/index.php?page=article&id=434875', 'display_url': 'jordanzad.com/index.php?page…', 'indices': [51, 74]}], 'media': [{'id': 1385298920591462405, 'id_str': '1385298920591462405', 'indices': [75, 98], 'media_url': 'http://pbs.twimg.com/media/EzmSB1WWEAU3dki.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EzmSB1WWEAU3dki.jpg', 'url': 'https://t.co/HQXHREXEOd', 'display_url': 'pic.twitter.com/HQXHREXEOd', 'expanded_url': 'https://twitter.com/JordanZad1/status/1385298925050122241/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 586, 'h': 325, 'resize': 'fit'}, 'small': {'w': 586, 'h': 325, 'resize': 'fit'}, 'large': {'w': 586, 'h': 325, 'resize': 'fit'}}}]}"
8,"عاجل : الأردن السابع عربيا بنسبة تلقي مطعوم كورونا

https://t.co/RsKYtZyHW5",2021-04-22 18:10:22,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RsKYtZyHW5', 'expanded_url': 'https://www.khaberni.com/news/418547', 'display_url': 'khaberni.com/news/418547', 'indices': [52, 75]}]}"
9,للأسف كثير سمعت عن ناس راحت توخد المطعوم لقت انه استرازينيكا لفت ورجعت وما أخدته ،طبعا من ورا القصص والاشاعات الي ا… https://t.co/5QSjax1rDg,2021-04-22 14:39:49,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5QSjax1rDg', 'expanded_url': 'https://twitter.com/i/web/status/1385241937591128066', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
10,"اقليم بڤاريا الألماني: مطعوم كوفيد من  استرازينكا لكل من تجاوز ١٨ سنة

https://t.co/67kF4qXnD7",2021-04-22 09:52:31,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/67kF4qXnD7', 'expanded_url': 'https://www.bild.de/regional/muenchen/muenchen-aktuell/in-arztpraxen-bayern-gibt-astrazeneca-fuer-jedes-alter-frei-76149190.bild.html', 'display_url': 'bild.de/regional/muenc…', 'indices': [71, 94]}]}"
