,Tweets,created_at,geo,coordinates,place,lang,entities
0,"#عاجل | مركز ادارة الازمات ينشر اخر التفاصيل حول مطاعيم كورونا - الوكيل الاخباري https://t.co/3xSYB5rV2K 

#الوكيل_الاخباري",2021-04-13 19:25:29,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [0, 5]}, {'text': 'الوكيل_الاخباري', 'indices': [107, 123]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3xSYB5rV2K', 'expanded_url': 'https://s.alwakeelnews.com/499708', 'display_url': 's.alwakeelnews.com/499708', 'indices': [81, 104]}]}"
1,"عبيدات يحذر من تباعد مطاعيم كورونا

https://t.co/tERmmL10BH https://t.co/uACDL9S5oJ",2021-04-13 12:59:48,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/tERmmL10BH', 'expanded_url': 'http://www.jordanzad.com/index.php?page=article&id=433357', 'display_url': 'jordanzad.com/index.php?page…', 'indices': [36, 59]}], 'media': [{'id': 1381955272382513156, 'id_str': '1381955272382513156', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/media/Ey2w_5HWgAQ_6Yq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ey2w_5HWgAQ_6Yq.jpg', 'url': 'https://t.co/uACDL9S5oJ', 'display_url': 'pic.twitter.com/uACDL9S5oJ', 'expanded_url': 'https://twitter.com/JordanZad1/status/1381955276438396935/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 470, 'h': 351, 'resize': 'fit'}, 'small': {'w': 470, 'h': 351, 'resize': 'fit'}, 'medium': {'w': 470, 'h': 351, 'resize': 'fit'}}}]}"
2,"عبيدات يحذر من تباعد مطاعيم كورونا
#الاردن #كورونا #خبرني 
https://t.co/F8K5TMnKVY",2021-04-13 12:45:29,,,,ar,"{'hashtags': [{'text': 'الاردن', 'indices': [35, 42]}, {'text': 'كورونا', 'indices': [43, 50]}, {'text': 'خبرني', 'indices': [51, 57]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/F8K5TMnKVY', 'expanded_url': 'https://www.khaberni.com/news/416893', 'display_url': 'khaberni.com/news/416893', 'indices': [59, 82]}]}"
3,@nouralshami0 لا هسا في سؤال جديد واللي هو هل مطاعيم كورونا بتفطر ولا لا,2021-04-12 18:50:50,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nouralshami0', 'name': 'Nour🔬', 'id': 1365825631347482624, 'id_str': '1365825631347482624', 'indices': [0, 13]}], 'urls': []}"
4,في مئوية الدوله..بعملوا حملات تطوع ع حد يطعم علماً أنه ولا حد قابل يطَّعم وفوق هيك مطاعيم مافي بالبلد 🤦🏻‍♂️,2021-04-10 17:10:14,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
5,"RT @enad_th: لقد خلقنا الانسان في احسن تقويم 

خلق الله جسم الانسان واحسن خلقه دون لقاحات ودون اضافات 
عاش البشر الالاف السنين دون مطاعيم ل…",2021-04-10 13:32:39,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'enad_th', 'name': 'Enad altahrawi', 'id': 486427409, 'id_str': '486427409', 'indices': [3, 11]}], 'urls': []}"
