,Tweets,created_at,geo,coordinates,place,lang,entities
0,@MkMheadat طلعلك استرازينيكا حتى لو انك تحت سن ال30 لأنك على الاغلب مسجل ككادر طبي..انا مداوم في مركز مطاعيم وجميع… https://t.co/MZnKqhgaUQ,2021-04-22 20:16:00,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MkMheadat', 'name': 'Mohammad Mheadat', 'id': 923170332399284224, 'id_str': '923170332399284224', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/MZnKqhgaUQ', 'expanded_url': 'https://twitter.com/i/web/status/1385326540897009675', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
1,شركتنا عاملين شراكة مع وزارة الصحة عشان يعطوا مطاعيم للموظفين ، والمطاعيم بس استرازينيكا ، شكله ما حدا قابل يوخده,2021-04-22 17:29:57,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
2,"@iamshatnawi في مطاعيم
اخوي الثلاثاء اخذ 🤨",2021-04-22 16:48:15,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iamshatnawi', 'name': 'Mahmoud 🚜', 'id': 540069202, 'id_str': '540069202', 'indices': [0, 12]}], 'urls': []}"
3,للأسف كثير سمعت عن ناس راحت توخد المطعوم لقت انه استرازينيكا لفت ورجعت وما أخدته ،طبعا من ورا القصص والاشاعات الي ا… https://t.co/5QSjax1rDg,2021-04-22 14:39:49,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5QSjax1rDg', 'expanded_url': 'https://twitter.com/i/web/status/1385241937591128066', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
4,"RT @Gollanar80: #رؤية_١٨_نيسان_٢٠٢١

صدور مطاعيم صينيه للاطفال ترفق مع كل ام .. ( اي يسجل مطعومين للام والطفل ) 

كما ظهر لي ذلك في الصين .…",2021-04-21 14:46:25,,,,ar,"{'hashtags': [{'text': 'رؤية_١٨_نيسان_٢٠٢١', 'indices': [16, 35]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Gollanar80', 'name': 'Gollanar Idwan', 'id': 901184503275827202, 'id_str': '901184503275827202', 'indices': [3, 14]}], 'urls': []}"
5,"#رؤية_١٨_نيسان_٢٠٢١

صدور مطاعيم صينيه للاطفال ترفق مع كل ام .. ( اي يسجل مطعومين للام والطفل ) 

كما ظهر لي ذلك في… https://t.co/t22LD7O29N",2021-04-21 14:39:47,,,,ar,"{'hashtags': [{'text': 'رؤية_١٨_نيسان_٢٠٢١', 'indices': [0, 19]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/t22LD7O29N', 'expanded_url': 'https://twitter.com/i/web/status/1384879542137937920', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
6,@YZaatreh كان يصحيه من النوم و يقوله بدنا مطاعيم! أكثر من 10 مليون و 300 ألف جرعه خلال 3 شهور...و هلأ البلد فتح بشكل طبيعي,2021-04-21 11:06:32,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YZaatreh', 'name': 'ياسر الزعاترة', 'id': 575661707, 'id_str': '575661707', 'indices': [0, 9]}], 'urls': []}"
7,"الصحة : 60 الف مسجل على منصة مطاعيم كورونا خلال الـ 24 ساعة الماضية - الوكيل الاخباري https://t.co/NsEvTux1HU 

#الوكيل_الاخباري",2021-04-20 20:11:42,,,,ar,"{'hashtags': [{'text': 'الوكيل_الاخباري', 'indices': [112, 128]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NsEvTux1HU', 'expanded_url': 'https://s.alwakeelnews.com/500823', 'display_url': 's.alwakeelnews.com/500823', 'indices': [86, 109]}]}"
8,"مادام الامانة عندها فائض مادي 
كان اتبرعت  وجابت جرات اكسجين ولا مطاعيم بدل ما إحنا مش مطعمين نص مليون بعدنا جرعتين. https://t.co/B0Un2bKRMV",2021-04-17 08:36:31,,,"Place(_api=<tweepy.api.API object at 0x000001C40B3D9460>, id='00a521ee3b6eda25', url='https://api.twitter.com/1.1/geo/id/00a521ee3b6eda25.json', place_type='admin', name='Ajlun', full_name='Ajlun, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C40B3D9460>, type='Polygon', coordinates=[[[35.5918164, 32.1915746], [35.8917813, 32.1915746], [35.8917813, 32.4391668], [35.5918164, 32.4391668]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/B0Un2bKRMV', 'expanded_url': 'https://twitter.com/hazem/status/1383079589530992642', 'display_url': 'twitter.com/hazem/status/1…', 'indices': [117, 140]}]}"
9,كوبا المحاصرة تعادل عُشْرَ مصر مساحةًوسكاناً تطور خمسة مطاعيم لفيروس كورونا إثنان منها في طور التجريب النهائي ونحن… https://t.co/KhL1JNwwH5,2021-04-17 03:40:57,,,"Place(_api=<tweepy.api.API object at 0x000001C40B3D9460>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C40B3D9460>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KhL1JNwwH5', 'expanded_url': 'https://twitter.com/i/web/status/1383264188609417221', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
